Ghi,Ghi90,Ghi10,Ebh,Dni,Dni10,Dni90,Dhi,air_temp,Zenith,Azimuth,cloud_opacity,period_end,Period
1050,1050,1004,924,1031,955,1031,126,23,26,16,0,2019-02-24T03:00:00Z,PT30M
1023,1023,947,899,1022,863,1022,124,24,28,31,0,2019-02-24T03:30:00Z,PT30M
978,978,907,859,1017,859,1017,120,24,32,44,0,2019-02-24T04:00:00Z,PT30M
913,918,853,794,999,859,1010,118,24,37,54,1,2019-02-24T04:30:00Z,PT30M
838,841,791,726,982,875,989,111,24,42,62,2,2019-02-24T05:00:00Z,PT30M
732,747,690,607,896,764,936,124,24,47,69,2,2019-02-24T05:30:00Z,PT30M
608,629,572,463,769,628,835,144,23,53,75,6,2019-02-24T06:00:00Z,PT30M
479,502,455,309,599,494,705,168,22,59,80,11,2019-02-24T06:30:00Z,PT30M
368,390,347,185,439,329,560,183,22,65,85,14,2019-02-24T07:00:00Z,PT30M
273,289,257,130,402,303,510,142,20,71,89,12,2019-02-24T07:30:00Z,PT30M
177,186,167,88,425,329,531,88,19,78,94,7,2019-02-24T08:00:00Z,PT30M
79,82,75,40,235,182,270,39,18,84,98,3,2019-02-24T08:30:00Z,PT30M
1,1,1,0,5,5,5,0,16,90,102,0,2019-02-24T09:00:00Z,PT30M
0,0,0,0,0,0,0,0,15,96,106,0,2019-02-24T09:30:00Z,PT30M
0,0,0,0,0,0,0,0,14,101,111,0,2019-02-24T10:00:00Z,PT30M
0,0,0,0,0,0,0,0,13,107,116,0,2019-02-24T10:30:00Z,PT30M
0,0,0,0,0,0,0,0,12,112,121,0,2019-02-24T11:00:00Z,PT30M
0,0,0,0,0,0,0,0,11,118,127,0,2019-02-24T11:30:00Z,PT30M
0,0,0,0,0,0,0,0,11,122,134,0,2019-02-24T12:00:00Z,PT30M
0,0,0,0,0,0,0,0,10,126,141,0,2019-02-24T12:30:00Z,PT30M
0,0,0,0,0,0,0,0,10,130,150,0,2019-02-24T13:00:00Z,PT30M
0,0,0,0,0,0,0,0,10,132,159,0,2019-02-24T13:30:00Z,PT30M
0,0,0,0,0,0,0,0,9,134,169,0,2019-02-24T14:00:00Z,PT30M
0,0,0,0,0,0,0,0,9,135,179,0,2019-02-24T14:30:00Z,PT30M
0,0,0,0,0,0,0,0,9,134,-171,0,2019-02-24T15:00:00Z,PT30M
0,0,0,0,0,0,0,0,9,133,-161,0,2019-02-24T15:30:00Z,PT30M
0,0,0,0,0,0,0,0,9,130,-151,0,2019-02-24T16:00:00Z,PT30M
0,0,0,0,0,0,0,0,9,127,-143,0,2019-02-24T16:30:00Z,PT30M
